Task_Name,times,Trial_Nr,variable_name,X,Y,Task_ID
SmoothPursuit,1607623212072,1,PF1,854.1258716583251,673.392316102982,PF1_1
SmoothPursuit,1607623212150,1,PF1,924.953241348267,543.3721321821209,PF1_1
SmoothPursuit,1607623212221,1,PF1,853.166999816895,478.595834970474,PF1_1
SmoothPursuit,1607623212305,1,PF1,753.5430765151981,420.780610442162,PF1_1
SmoothPursuit,1607623212381,1,PF1,798.733720779419,442.08522230386706,PF1_1
SmoothPursuit,1607623212469,1,PF1,805.291013717651,371.46632552146895,PF1_1
SmoothPursuit,1607623212555,1,PF1,813.2643699646001,303.408903479576,PF1_1
SmoothPursuit,1607623212630,1,PF1,915.124686956406,387.249237298965,PF1_1
SmoothPursuit,1607623212709,1,PF1,900.1298439502721,510.932348370552,PF1_1
SmoothPursuit,1607623212788,1,PF1,976.523401737213,535.118046998978,PF1_1
SmoothPursuit,1607623212867,1,PF1,1005.80487728119,542.875301241875,PF1_1
SmoothPursuit,1607623212956,1,PF1,991.0930001735691,648.720327615738,PF1_1
SmoothPursuit,1607623213032,1,PF1,964.072743058205,689.874383211136,PF1_1
SmoothPursuit,1607623213104,1,PF1,926.906329393387,677.169756889343,PF1_1
SmoothPursuit,1607623213189,1,PF1,940.088542699814,635.700788497925,PF1_1
SmoothPursuit,1607623213267,1,PF1,901.524099111557,652.7706456184391,PF1_1
SmoothPursuit,1607623213354,1,PF1,929.796620607376,667.960939407349,PF1_1
SmoothPursuit,1607623213425,1,PF1,923.8195824623109,683.316285610199,PF1_1
SmoothPursuit,1607623213505,1,PF1,881.684718132019,687.074221372604,PF1_1
SmoothPursuit,1607623213581,1,PF1,925.487176179886,698.70996594429,PF1_1
SmoothPursuit,1607623213671,1,PF1,1013.3900499343902,679.649759531021,PF1_1
SmoothPursuit,1607623213757,1,PF1,1009.2141759395599,723.7304377555851,PF1_1
SmoothPursuit,1607623213830,1,PF1,974.303584992886,722.6093816757201,PF1_1
SmoothPursuit,1607623213908,1,PF1,952.496219873428,715.109635591507,PF1_1
SmoothPursuit,1607623213988,1,PF1,1009.8030638694802,710.1206624507901,PF1_1
SmoothPursuit,1607623214066,1,PF1,1164.29340362549,745.602489709854,PF1_1
SmoothPursuit,1607623214153,1,PF1,881.874918937683,713.705627918243,PF1_1
SmoothPursuit,1607623214225,1,PF1,1078.23094367981,745.969995260239,PF1_1
SmoothPursuit,1607623214301,1,PF1,1080.81097126007,750.609551668167,PF1_1
SmoothPursuit,1607623214382,1,PF1,1118.5121011734,758.063850402832,PF1_1
SmoothPursuit,1607623214466,1,PF1,1123.17368030548,752.83833861351,PF1_1
SmoothPursuit,1607623214556,1,PF1,1163.8905286788902,764.737755060196,PF1_1
SmoothPursuit,1607623214630,1,PF1,1121.49424552917,751.710040569305,PF1_1
SmoothPursuit,1607623214714,1,PF1,1107.19223499298,732.08991765976,PF1_1
SmoothPursuit,1607623214799,1,PF1,1159.52904224396,740.954629182816,PF1_1
SmoothPursuit,1607623214887,1,PF1,1059.94438648224,715.058233737946,PF1_1
SmoothPursuit,1607623214966,1,PF1,1080.74691295624,654.193707704544,PF1_1
SmoothPursuit,1607623215053,1,PF1,1123.17818641663,652.361844778061,PF1_1
SmoothPursuit,1607623215125,1,PF1,1134.98735904694,705.234203338623,PF1_1
